2019-07-10 12:55:47,320 [Worker-10] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: com.man:store:1.0.0-BUILD-SNAPSHOT @ C:\sts-bundle\stswk_mvc_web\manstore\pom.xml.
2019-07-10 12:55:51,290 [Worker-10] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
2019-07-10 12:55:51,303 [Worker-10] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 6 resources
2019-07-10 12:55:51,339 [Worker-10] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
2019-07-10 12:55:51,341 [Worker-10] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2019-07-10 12:56:08,551 [Worker-10] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
2019-07-10 12:56:08,568 [Worker-10] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 6 resources
2019-07-10 12:56:09,547 [Worker-10] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
2019-07-10 12:56:09,550 [Worker-10] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2019-07-10 14:11:46,208 [Worker-59] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
2019-07-10 14:11:46,225 [Worker-59] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 6 resources
2019-07-10 14:11:46,354 [Worker-59] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
2019-07-10 14:11:46,358 [Worker-59] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
